Transaction_ID,Customer_ID,Customer_Name,Gender,Age,Email,Phone_Number,Product_Category,Product_Name,Quantity,Unit_Price,Sales_Amount,Payment_Method,Sales_Rep,Branch,Order_Date,Delivery_Date,Customer_City,Customer_Status,Remarks
TX1000,CUST934,Mary_45,Female,34,,,Electrnics,TV,10,₦5000,50000,CreditCard,,PH,12/05/2025,12-May-25, Abuja ,Acitve,
TX1001,CUST718,James#9,Male,45,user@gmail.com,,Fashion,Shirt,3,2500,15000,CreditCard,,Kano,12-May-25,12/05/2025,LAGOS,Active,***
TX1002,CUST383,James Brown,,5,user@gmail.com,(080)12345678,Electrnics,TV,1,2500,5000, Cash ,,Ikeja,12-May-25,12/05/2025,Kano,active,***
TX1003,CUST600,Mary Johnson,Female,45,,2.34801E+12,Groceries,Shirt,-2,₦5000,-5000,CreditCard,,Kano,"May 12, 2025",12/05/2025,Port Harcourt,ACTIVE,
TX1004,CUST209,Mary_45,Female,34,test@yahoo.com,,Electrnics,Rice,-2,"5,000",-5000, Cash ,Rep C,Abuja,12/05/2025,12-May-25,LaGoS,Active,***
TX1005,CUST244,John Smith,Female,150,user@gmail.com,234-801-234-5678,Fashion,Shirt,2,"5,000",-5000,Transfer,Rep B,Abuja,12-May-25,, Abuja ,active,
TX1006,CUST606,James#9,Female,150,user@gmail.com,,Groceries,TV,5,"5,000",25000, Cash ,Rep A,PH,12/05/2025,12/05/2025,Port Harcourt,active,@@@
TX1007,CUST694, Aisha Bello ,,25,test@yahoo.com,,,Shirt,1,2500,-5000,Credit Card,Rep C,Abuja,12/05/2025,12/05/2025,Kano,active,
TX1008,CUST511,John Smith,Male,34,test@yahoo.com,(080)12345678,Groceries,Phone,3,₦5000,15000,Card,,Abuja,"May 12, 2025","May 12, 2025",Lagos,Active,???
TX1009,CUST558,Mary Johnson,Female,45,user@gmail.com,,Electrnics,TV,3,NGN 5000,-5000,Transfer,Rep B,PH,12/05/2025,12/05/2025,Lagos,ACTIVE,@@@
TX1010,CUST524,James#9,Male,999,,,Electroncs,Shirt,1,"5,000",99999999,Card,,Kano,12/05/2025,12-May-25,Lagos,Acitve,???
TX1011,CUST989,James#9,Female,999,,(080)12345678,Fashion,Laptop,5,2500,25000,Transfer,,Abuja,12/05/2025,12/05/2025,LAGOS,Actve,
TX1012,CUST126,John Smith,,150,user@gmail.com,234-801-234-5678,Electronic,Shirt,3,2500,99999999,Card,Rep C,PH,12/05/2025,,LAGOS,Actve,???
